,Food_name,Food_Group,Descrip,ingredient,Value
69,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",Protein_g,7.8
70,Potatoes,Vegetables,"Potatoes, raw, skin",Protein_g,2.57
71,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",Protein_g,1.36
72,Cabbage,Vegetables,"Cabbage, mustard, salted",Protein_g,1.1
73,Peas,Vegetables,"Peas, green, raw",Protein_g,5.42
74,Tomatoes,Vegetables,"Tomatoes, green, raw",Protein_g,1.2
75,Onion,Vegetables,"Onions, raw",Protein_g,1.1
76,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",Protein_g,1.5
77,Eggplant,Vegetables,"Eggplant, raw",Protein_g,0.98
78,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",Protein_g,2.6
79,Garlic,Vegetables,"Garlic, raw",Protein_g,6.36
80,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",Protein_g,2.24
81,Okra,Vegetables,"Okra, raw",Protein_g,1.93
82,Spinach,Vegetables,"Spinach, raw",Protein_g,2.86
83,Sweetcorn,Vegetables,"Corn, sweet, white, raw",Protein_g,3.22
84,Cucumber,Vegetables,"Cucumber, with peel, raw",Protein_g,0.65
85,Lettuce,Vegetables,"Lettuce, green leaf, raw",Protein_g,1.36
86,Orange,Fruits,"Oranges, raw, all commercial varieties",Protein_g,0.94
87,Bananas,Fruits,"Bananas, raw",Protein_g,1.09
88,Apples,Fruits,"Apples, raw, with skin",Protein_g,0.26
89,Blackberries,Fruits,"Blackberries, raw",Protein_g,1.39
90,Blueberries,Fruits,"Blueberries, raw",Protein_g,0.74
91,Strawberries,Fruits,"Strawberries, raw",Protein_g,0.67
92,Grapes,Fruits,"Grapes, american type (slip skin), raw",Protein_g,0.63
93,Pomegranate,Fruits,"Pomegranates, raw",Protein_g,1.67
94,Watermelon,Fruits,"Watermelon, raw",Protein_g,0.61
95,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",Protein_g,3.27
96,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",Protein_g,3.33
97,Cheese,Dariy and Eggs,"Cheese, brick",Protein_g,23.24
98,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",Protein_g,5.98
99,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Protein_g,2.29
100,Cream,Dariy and Eggs,"Cheese, cream",Protein_g,5.93
101,Yogurt,Dariy and Eggs,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",Protein_g,3.47
102,Beer,Beverages,"Alcoholic beverage, beer, regular, all",Protein_g,0.46
103,Wine,Beverages,"Alcoholic beverage, wine, table, all",Protein_g,0.07
104,Coffee(instant),Beverages,"Coffee, instant, regular, powder",Protein_g,12.2
105,Coca cola,Beverages,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",Protein_g,0.0
106,Lemon Juice,Beverages,"Lemon juice, raw",Protein_g,0.35
107,Fish(farmed),Fish & Shellfish,"Fish, catfish, channel, farmed, raw",Protein_g,15.23
108,Shrimp(farmed),Fish & Shellfish,"Crustaceans, crayfish, mixed species, farmed, raw",Protein_g,14.85
109,Trout,Fish & Shellfish,"Fish, trout, rainbow, farmed, raw",Protein_g,19.94
110,Herring,Fish & Shellfish,"Fish, herring, Pacific, raw",Protein_g,16.39
111,Salmon,Fish & Shellfish,"Fish, salmon, Atlantic, wild, raw",Protein_g,19.84
112,Sardine,Fish & Shellfish,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",Protein_g,20.86
