123,Poultry Meat,6.1,Farm,0.7
124,Milk,2.8,Farm,1.5
125,Cheese,21.2,Farm,13.1
126,Eggs,4.5,Farm,1.3
127,Fish (farmed),5.1,Farm,3.6
128,Shrimps (farmed),11.8,Farm,8.4
129,Wheat & Rye (Bread),1.4,Processing,0.2
130,Maize (Meal),1.1,Processing,0.1
131,Barley (Beer),1.1,Processing,0.1
132,Oatmeal,1.6,Processing,0.0
133,Rice,4.0,Processing,0.1
134,Potatoes,0.3,Processing,0.0
135,Cassava,0.9,Processing,0.0
136,Cane Sugar,2.6,Processing,0.0
137,Beet Sugar,1.4,Processing,0.2
138,Other Pulses,1.6,Processing,0.0
139,Peas,0.8,Processing,0.0
140,Nuts,0.2,Processing,0.0
141,Groundnuts,2.4,Processing,0.4
142,Soymilk,1.0,Processing,0.2
143,Tofu,3.0,Processing,0.8
144,Soybean Oil,6.0,Processing,0.3
145,Palm Oil,7.6,Processing,1.3
146,Sunflower Oil,3.5,Processing,0.2
147,Rapeseed Oil,3.7,Processing,0.2
148,Olive Oil,6.0,Processing,0.7
149,Tomatoes,1.4,Processing,0.0
150,Onions & Leeks,0.3,Processing,0.0
151,Root Vegetables,0.3,Processing,0.0
152,Brassicas,0.4,Processing,0.0
153,Other Vegetables,0.5,Processing,0.1
154,Citrus Fruit,0.3,Processing,0.0
155,Bananas,0.8,Processing,0.1
156,Apples,0.3,Processing,0.0
157,Berries & Grapes,1.1,Processing,0.0
158,Wine,1.4,Processing,0.1
159,Other Fruit,0.7,Processing,0.0
160,Coffee,16.5,Processing,0.6
161,Dark Chocolate,18.7,Processing,0.2
162,Beef (beef herd),59.6,Processing,1.3
163,Beef (dairy herd),21.1,Processing,1.1
164,Lamb & Mutton,24.5,Processing,1.1
165,Pig Meat,7.2,Processing,0.3
166,Poultry Meat,6.1,Processing,0.4
167,Milk,2.8,Processing,0.1
168,Cheese,21.2,Processing,0.7
169,Eggs,4.5,Processing,0.0
170,Fish (farmed),5.1,Processing,0.0
171,Shrimps (farmed),11.8,Processing,0.0
172,Wheat & Rye (Bread),1.4,Transport,0.1
