Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,36.67,47.67100000000001,102.676,84.34100000000001,91.675,150.347,348.365,564.7180000000001,990.09,1257.781,462.042,425.37199999999996,374.034,330.03,429.039,707.7310000000001,403.37,465.709,491.37800000000004,407.037,143.013,106.34299999999999,293.36,84.34100000000001,146.68,249.356,249.356,275.025,286.026,286.026,282.35900000000004,267.691,264.024,271.358,267.691,275.025,293.36,308.028,319.029,330.03,344.69800000000004,348.365,370.36699999999996,403.37,421.705,429.039,443.707,469.376,480.37699999999995,509.713,524.381,513.38,524.381,524.381,528.048,546.383,557.384
Australia,88202.351,90589.56800000001,94912.961,101029.51699999999,108979.573,120966.996,120332.605,129265.41699999999,134622.904,142257.598,147618.75199999998,152774.554,157486.649,170992.21,172356.33399999997,175883.988,174244.83899999998,187787.07,202015.03,205069.641,220746.06600000002,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,263704.971,261471.768,267984.36,277397.549,278119.94800000003,281860.288,302164.467,305794.797,316883.805,325343.57399999996,329443.28,324844.86199999996,341353.696,336271.234,342699.485,350172.831,365346.87700000004,372090.49,385904.07899999997,394792.88700000005,390861.86299999995,391818.95,388126.281,372317.844,361316.844,365332.209,375907.83700000006
Austria,30821.135,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.39599999999,50692.608,52155.740999999995,56193.108,60164.469000000005,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.087999999996,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.585999999996,57791.92,61719.277,56772.494000000006,57219.867999999995,57172.197,59918.78,63332.757000000005,62797.375,63805.8,62016.304000000004,62265.66,65877.655,67010.758,71854.865,72140.891,73816.71,71818.195,69419.977,68811.255,62793.708,67564.475,65063.581,62324.332,62529.684,58903.02099999999,61264.569,61447.919
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56240.779,48452.070999999996,41976.149000000005,33333.03,31257.507999999998,29809.042999999998,31675.546000000002,28576.931,29508.349,28771.282000000003,29614.692000000003,30615.783,32089.917,34337.788,39167.227,30509.44,35503.894,31902.9,30678.122000000003,33248.689,35397.551,35496.56,37385.065,37597.751000000004,37619.753
Burundi,0,0,44.004,47.67100000000001,47.67100000000001,36.67,47.67100000000001,47.67100000000001,55.005,73.34,62.339,73.34,73.34,73.34,91.675,77.007,88.008,99.009,102.676,110.01,146.68,157.681,157.681,205.352,220.02,231.021,234.688,249.356,227.354,267.691,209.019,238.355,216.35299999999998,227.354,234.688,238.355,242.02200000000002,249.356,249.356,253.023,271.358,205.352,212.68599999999998,161.34799999999998,198.018,154.014,187.017,187.017,190.68400000000003,190.68400000000003,308.028,425.37199999999996,388.702,410.704,385.035,403.37,495.045
Belgium,91000.272,92793.435,98117.91900000001,105781.94900000001,103662.42300000001,105440.918,105206.23,107472.436,118557.77699999999,123618.237,125620.41900000001,121528.04699999999,130834.89300000001,138872.957,135220.625,122100.099,130009.81800000001,126570.17199999999,135855.016,140233.414,135301.299,124021.60699999999,117553.019,101630.905,105422.58300000001,104472.83,102874.01800000001,103116.04,100354.789,107461.435,106049.64,110959.75300000001,111968.17800000001,107652.119,112334.87800000001,112327.54400000001,118059.065,115341.81800000001,118374.427,114260.05300000001,115118.131,114527.744,107311.088,112914.26400000001,111102.766,108543.2,107204.745,103658.756,104447.161,99306.02699999999,110259.356,99969.754,95132.981,97501.86300000001,93563.505,99346.364,96889.474
Benin,161.34799999999998,128.345,135.679,121.01100000000001,143.013,150.347,113.677,143.013,154.014,201.685,282.35900000000004,293.36,388.702,381.36800000000005,407.037,443.707,260.357,297.027,363.033,366.7,517.047,429.039,491.37800000000004,454.708,502.379,744.4010000000001,685.7289999999999,539.049,553.717,630.724,707.7310000000001,821.408,898.415,1133.103,1265.115,1327.454,1265.115,1217.444,1213.777,1562.142,1598.8120000000001,1815.165,2079.189,2354.214,2508.228,2394.551,3872.3520000000003,4495.742,4411.401,4660.7570000000005,5089.795999999999,5060.46,4803.77,5042.125,5375.821999999999,6065.218000000001,6475.922
Burkina Faso,44.004,91.675,84.34100000000001,88.008,110.01,102.676,102.676,102.676,102.676,121.01100000000001,143.013,150.347,161.34799999999998,168.68200000000002,205.352,220.02,209.019,249.356,348.365,407.037,432.70599999999996,557.384,575.719,594.054,465.709,476.71,480.37699999999995,517.047,553.717,821.408,583.053,627.057,630.724,627.057,645.3919999999999,627.057,707.7310000000001,806.74,861.745,931.418,1041.428,997.424,1004.758,1078.098,1103.767,1125.769,1360.457,1595.145,1789.496,1895.839,2104.8579999999997,2200.2,2698.9120000000003,2929.933,2959.2690000000002,3329.636,3417.6440000000002
Bangladesh,14154.62,14656.999,16105.464,18514.683,19035.397,19974.148999999998,20326.181,21572.961,24737.582000000002,23993.181,24337.879,23076.431,3509.3190000000004,4554.414000000001,4660.7570000000005,4869.776,5570.173000000001,5812.195,6017.547,6648.271,7638.361,7931.721,8599.115,8236.082,9123.496,10234.597,11463.042,11862.745,13545.898000000001,13454.223,14161.954,14811.013,15452.738000000001,16138.466999999999,17619.935,21129.254,21679.304,23421.129,23567.808999999997,25705.67,27627.178,32621.632,33615.388999999996,35144.528,37682.092000000004,39500.924,43567.627,44539.382000000005,49625.511,54473.285,60223.140999999996,63233.748,67670.818,69456.647,73758.038,81073.703,84245.65800000001
Bulgaria,22295.36,25973.361,30736.793999999998,34411.128,42863.562999999995,46317.877,48767.433,55166.348,59526.41099999999,66376.367,61238.9,64300.845,66171.015,68825.923,71260.811,73061.308,73116.313,75969.239,81411.067,79152.195,77487.37700000001,80343.97,90131.19300000001,90365.881,87366.275,89540.806,91528.32,91634.663,87289.26800000001,86739.21800000001,74480.437,57549.898,54205.594000000005,67861.50200000001,54161.59,58004.606,56559.808,51616.692,48998.454000000005,43981.998,43530.957,46453.556,44634.724,47307.967000000004,46801.920999999995,47916.689000000006,48991.12,52254.75,50740.279,42665.545,44114.01,49354.153,44862.078,39599.933,42328.181,44737.4,41708.458
